Location,Code,PM2.5_Avg_2019,PM2.5_Change_2010_2019,2021_AIC,Mean Growth_AIC,Death Rate,Mean Growth Rate (Death),Urban population,Mean Growth 2012-2022 (Urban population)
Albania,ALB,0.169257629,0.24032635,0.000997142,0.001785145,0.001316205,0.37398594,0.581094216,0.533031533
Antigua and Barbuda,ATG,0.049859572,0.465434275,4.02E-05,7.76E-05,0.258804743,0.665156657,0.124557384,0.138226392
Argentina,ARG,0.101168969,0.421838489,0.000878819,0.000881175,0.700005331,0.589688033,0.911442061,0.905369376
Armenia,ARM,0.461818734,0.191849182,0.003330568,0.005889161,0.041424894,0.466652474,0.578479021,0.578525623
Australia,AUS,0.05321087,0.465721415,3.04E-05,5.49E-05,0.269012077,0.618093615,0.843643685,0.838650962
Austria,AUT,0.09807196,0.298863321,1.29E-05,2.51E-05,0.146020458,0.613306244,0.52852415,0.520245469
Azerbaijan,AZE,0.320646728,0.167452176,5.40E-06,9.62E-06,0.392145675,,0.50438566,0.489038805
Bahamas,BHS,0,0.472335538,2.02E-05,3.60E-05,0.205074154,0.637952451,0.808974982,0.804706213
Bahrain,BHR,0.726992561,0.301714919,0,0,0.057657874,0.448368961,0.881309449,0.876368391
Barbados,BRB,0.075664187,0.491346192,5.19E-05,9.09E-05,0.133647127,0.592865719,0.20530445,0.212307837
Belarus,BLR,0.157552755,0.29312052,1.09E-05,1.65E-05,0.028491716,0.375429622,0.772339096,0.748824489
Belgium,BEL,0.088735388,0.277595152,1.29E-05,2.49E-05,0.274872836,0.589422612,0.978627138,0.976571039
Belize,BLZ,0.106512828,0.483108242,1.94E-05,4.10E-05,0.633426365,0.688140962,0.37971256,0.377551456
Bosnia and Herzegovina,BIH,0.34829209,0.093033387,1.09E-05,2.05E-05,0.185150496,0.60858337,0.41957694,0.403291328
Brazil,BRA,0.085744649,0.325161393,4.94E-05,8.46E-05,0.482368574,0.583735501,0.85599065,0.842761215
Brunei Darussalam,BRN,0.026279034,0.407065626,8.41E-06,1.68E-05,0.468158645,0.666558101,0.755305608,0.73971421
Bulgaria,BGR,0.191392136,0.195888946,1.08E-05,1.93E-05,0.263158775,0.675922077,0.726480594,0.709683839
Cabo Verde,CPV,0.472779718,0.632143847,0.001126821,0.001973398,0.460129758,,0.624441667,0.601497195
Canada,CAN,0.01381509,0.415818448,2.37E-05,4.36E-05,0.25609338,0.60283204,0.788840288,0.786727374
Chile,CHL,0.235160164,0.394708701,0.009850105,0.01707886,0.336514009,0.602895062,0.860121734,0.856920488
Colombia,COL,0.139319872,0.343379936,0.03054956,0.053000149,0.383376526,0.573556942,0.792288644,0.775568741
Costa Rica,CRI,0.144830727,0.319735435,0.008247223,0.014360317,0.213344067,0.578046052,0.79219607,0.751684474
Croatia,HRV,0.153286777,0.242385837,5.44E-06,1.06E-05,0.17143722,0.59316809,0.516524335,0.504268099
Cyprus,CYP,0.14357067,0.304447701,9.58E-06,1.84E-05,0.280010399,0.624564427,0.617105233,0.621059705
Czechia,CZE,0.139456505,0.230504178,0.000269229,0.00048907,0.183603184,0.639052918,0.703499271,0.698850275
Denmark,DNK,0.068210111,0.361162818,0.000155177,0.00029077,0.408928697,0.596566649,0.865386841,0.859720044
Dominican Republic,DOM,0.039532412,0.467028397,0.000495885,0.000881474,0.541613181,0.774053561,0.813094494,0.771829401
Ecuador,ECU,0.170381054,0.422511783,6.19E-06,1.31E-05,0.319304516,0.670756361,0.590015969,0.584161201
Egypt,EGY,0.880006073,0.553922928,8.23E-05,0.000136274,0.664516901,0.651146626,0.340033326,0.34459546
El Salvador,SLV,0.268559283,0.248287061,6.04E-06,1.14E-05,0.26080609,0.615460749,0.70801222,0.669378357
Estonia,EST,0.015940489,0.382827043,8.39E-06,1.50E-05,0.050396339,0.628297427,0.64832558,0.641845394
