Location,Code,PM2.5_Avg_2019,PM2.5_Change_2010_2019,Entity_x,2021 [YR2021]_9020000:ACTUAL INDIVIDUAL CONSUMPTION,Mean Growth 2017-2021_9020000:ACTUAL INDIVIDUAL CONSUMPTION,Entity_y,Death Rate,Mean Growth Rate (%),Entity,Urban population (% of total population),Mean Growth (2012-2022)
Albania,ALB,0.1692576286625171,0.2403263495583982,Albania,0.0009971421740745,0.0017851445605888,Albania,6.8135977,-14.290399867512528,Albania,63.799,59.25509090909091
Antigua and Barbuda,ATG,0.0498595718840139,0.4654342746247374,Antigua and Barbuda,4.023078319479793e-05,7.760541420048439e-05,Antigua and Barbuda,19.863983,2.701650367435981,Antigua and Barbuda,24.346,24.80672727272728
Argentina,ARG,0.1011689691817215,0.4218384886530158,Argentina,0.0008788191124038,0.0008811749497513,Argentina,42.225513,-1.7025241687459718,Argentina,92.347,91.74309090909092
Armenia,ARM,0.4618187338697435,0.1918491821458273,Armenia,0.003330568141152,0.0058891606377801,Armenia,8.846441,-8.882595070810424,Armenia,63.573,63.22463636363637
Australia,AUS,0.0532108698952482,0.4657214147094932,Australia,3.044856773227719e-05,5.494492943259451e-05,Australia,20.381325,-0.0448400434539284,Australia,86.488,85.92163636363635
Austria,AUT,0.0980719599210566,0.2988633213196562,Austria,1.2939765494240488e-05,2.51294269344754e-05,Austria,14.147696,-0.3242199676433034,Austria,59.256,58.13945454545455
Azerbaijan,AZE,0.320646728404433,0.1674521763238146,Azerbaijan,5.398624437027111e-06,9.622999941583942e-06,Azerbaijan,26.62215,,Azerbaijan,57.17,55.41654545454546
Bahamas,BHS,0.0,0.4723355380411104,"Bahamas, The",2.0225339181891693e-05,3.596830656933381e-05,Bahamas,17.140736,1.1140757186548622,Bahamas,83.492,82.95981818181818
Bahrain,BHR,0.7269925611052073,0.3017149194027484,Bahrain,0.0,0.0,Bahrain,9.669183,-9.949578631686906,Bahrain,89.743,89.21263636363636
Barbados,BRB,0.075664187035069,0.491346191928393,Barbados,5.186418721426668e-05,9.085671083295128e-05,Barbados,13.520574,-1.5170817452699037,Barbados,31.324,31.27063636363636
Belarus,BLR,0.1575527554273569,0.2931205196245394,Belarus,1.0882105679900318e-05,1.652841413761112e-05,Belarus,8.190944,-14.206149898299996,Belarus,80.326,78.08390909090909
Belgium,BEL,0.0887353878852284,0.2775951522832586,Belgium,1.2905733576476188e-05,2.491795320015005e-05,Belgium,20.678368,-1.7180135228999711,Belgium,98.153,97.95572727272726
Belize,BLZ,0.106512828298163,0.4831082419105705,Belize,1.9395023878730048e-05,4.103386420192146e-05,Belize,38.851067,4.0429612494308245,Belize,46.396,45.688818181818185
Bosnia and Herzegovina,BIH,0.348292090481251,0.0930333874608894,Bosnia and Herzegovina,1.0913451902321806e-05,2.051461343221089e-05,Bosnia and Herzegovina,16.130938,-0.5998359356376021,Bosnia and Herzegovina,49.841,47.93472727272728
Brazil,BRA,0.0857446485501746,0.3251613925303971,Brazil,4.942374979491599e-05,8.459087134923308e-05,Brazil,31.19495,-2.0499001535705186,Brazil,87.555,86.28027272727273
Brunei Darussalam,BRN,0.0262790344618187,0.4070656263614399,Brunei Darussalam,8.407212137767682e-06,1.6768796479678224e-05,Brunei,30.474743,2.783435385031112,Brunei,78.854,77.289
Bulgaria,BGR,0.1913921360255047,0.195888946096875,Bulgaria,1.0822872893859235e-05,1.9289463790329524e-05,Bulgaria,20.08466,3.329895399722333,Bulgaria,76.363,74.66872727272727
Cabo Verde,CPV,0.4727797176256263,0.6321438472810803,Cabo Verde,0.0011268212995809,0.0019733976211694,Cape Verde,30.067812,,Cape Verde,67.545,65.229
Canada,CAN,0.0138150903294367,0.4158184482553763,Canada,2.374438106768044e-05,4.356981268640679e-05,Canada,19.726562,-0.9354702808975448,Canada,81.752,81.3910909090909
Chile,CHL,0.2351601639593138,0.394708701334706,Chile,0.009850105227557,0.017078859880392,Chile,23.80255,-0.9317924379515248,Chile,87.912,87.51572727272728
Colombia,COL,0.1393198724760893,0.343379935839043,Colombia,0.0305495603133823,0.0530001491430282,Colombia,26.1777,-2.6438973754423984,Colombia,82.05,80.41745454545455
Costa Rica,CRI,0.1448307271899195,0.3197354350667352,Costa Rica,0.0082472232740488,0.0143603170711618,Costa Rica,17.559883,-2.381923266908491,Costa Rica,82.042,78.33345454545454
Croatia,HRV,0.1532867769849704,0.2423858370628538,Croatia,5.44311118242556e-06,1.06207486520529e-05,Croatia,15.435903,-1.4994360784666587,Croatia,58.219,56.74536363636364
Cyprus,CYP,0.1435706695005314,0.3044477008990454,Cyprus,9.58241033414178e-06,1.8393300930455364e-05,Cyprus,20.938757,0.3327815828760319,Cyprus,66.911,66.93590909090909
Czechia,CZE,0.1394565052375892,0.2305041783833021,Czechia,0.000269229108117,0.0004890702441539,Czechia,16.052515,1.1782964558681503,Czechia,74.377,73.72345454545454
Denmark,DNK,0.068210110824351,0.3611628183294386,Denmark,0.0001551769088512,0.0002907699194896,Denmark,27.47277,-1.3011040183194298,Denmark,88.367,87.76
Dominican Republic,DOM,0.0395324123273113,0.467028397164244,Dominican Republic,0.000495884849323,0.0008814744378728,Dominican Republic,34.197666,9.056622033784288,Dominican Republic,83.848,80.09118181818182
Ecuador,ECU,0.1703810535904053,0.422511782644857,Ecuador,6.189008282445493e-06,1.308727314439958e-05,Ecuador,22.930315,3.0284361170347536,Ecuador,64.57,63.71636363636364
Egypt,EGY,0.8800060725671778,0.5539229276406985,"Egypt, Arab Rep.",8.225183552416248e-05,0.0001362739674356,Egypt,40.42684,1.8840573171674648,Egypt,42.967,42.813272727272725
El Salvador,SLV,0.268559283437073,0.2482870608736979,El Salvador,6.038414096568445e-06,1.1377975467491677e-05,El Salvador,19.965418,-0.1984880302245023,El Salvador,74.767,71.1519090909091
Estonia,EST,0.0159404888416578,0.3828270426551545,Estonia,8.389661006330286e-06,1.5014301304522106e-05,Estonia,9.301144,0.550630872595512,Estonia,69.609,68.74954545454545
Fiji,FJI,0.0429140731744344,0.4539486712345041,Fiji,1.624334634743102e-05,3.073059928710258e-05,Fiji,45.977592,-1.5448361831097768,Fiji,58.229,55.73045454545454
Finland,FIN,0.0075603461363291,0.3945502792189788,Finland,1.4871284715916378e-05,2.8029875320597616e-05,Finland,10.594158,-2.12542121717272,Finland,85.681,85.32618181818181
France,FRA,0.0797631698800668,0.3070220602796149,France,1.17995389280702e-05,2.299547456612628e-05,France,12.029381,-0.4042961087860126,France,81.509,80.18527272727273
Georgia,GEO,0.2179596174282678,0.2903481325993108,Georgia,1.6806732750287802e-05,2.729029834800202e-05,Georgia,18.487427,11.454042429727604,Georgia,60.297,58.26036363636364
Germany,DEU,0.0829209048125095,0.2943086854924946,Germany,1.1881852961952715e-05,2.234809060930876e-05,Germany,18.040186,-0.0104510944132527,Germany,77.648,77.32345454545454
Greece,GRC,0.1419462577804767,0.266188759950889,Greece,8.193815944162317e-06,1.5952939011698526e-05,Greece,15.5195,-1.5520289496307793,Greece,80.357,78.70672727272728
Grenada,GRD,0.0724419310763625,0.5014753059527108,Grenada,3.485597358531554e-05,6.226384104822841e-05,Grenada,18.025621,12.077871426975015,Grenada,36.868,36.24572727272727
Guatemala,GTM,0.2524517989980264,0.2546239455027921,Guatemala,7.193027007024198e-05,0.0001321167412565,Guatemala,18.310677,-0.3084117640334042,Guatemala,52.666,50.74136363636364
Guyana,GUY,0.1055412175497191,0.5235850924789099,Guyana,0.0021237043044061,0.0040478377761836,Guyana,19.369226,2.0792040733290795,Guyana,27.022,26.606818181818184
Hungary,HUN,0.1397753150144223,0.2520891916511543,Hungary,0.0033810493248439,0.0057913668566167,Hungary,25.345306,-1.0825671926437068,Hungary,72.552,71.08481818181818
