Entity,Code,Death Rate,Mean Growth Rate (%)
Albania,ALB,6.8135977,-14.290399867512527
Antigua and Barbuda,ATG,19.863983,2.7016503674359815
Argentina,ARG,42.225513,-1.7025241687459718
Armenia,ARM,8.846441,-8.882595070810424
Australia,AUS,20.381325,-0.044840043453928426
Austria,AUT,14.147696,-0.3242199676433034
Azerbaijan,AZE,26.62215,
Bahamas,BHS,17.140736,1.1140757186548622
Bahrain,BHR,9.669183,-9.949578631686906
Barbados,BRB,13.520574,-1.5170817452699035
Belarus,BLR,8.190944,-14.206149898299996
Belgium,BEL,20.678368,-1.7180135228999711
Belize,BLZ,38.851067,4.0429612494308245
Bosnia and Herzegovina,BIH,16.130938,-0.5998359356376021
Brazil,BRA,31.19495,-2.0499001535705186
Brunei,BRN,30.474743,2.7834353850311118
Bulgaria,BGR,20.08466,3.329895399722333
Canada,CAN,19.726562,-0.9354702808975447
Cape Verde,CPV,30.067812,
Chile,CHL,23.80255,-0.9317924379515249
Colombia,COL,26.1777,-2.6438973754423984
Costa Rica,CRI,17.559883,-2.381923266908491
Croatia,HRV,15.435903,-1.4994360784666587
Cuba,CUB,32.97041,9.038217792381305
Cyprus,CYP,20.938757,0.33278158287603193
Czechia,CZE,16.052515,1.1782964558681503
Denmark,DNK,27.47277,-1.3011040183194298
Dominican Republic,DOM,34.197666,9.056622033784288
Ecuador,ECU,22.930315,3.0284361170347536
Egypt,EGY,40.42684,1.8840573171674646
El Salvador,SLV,19.965418,-0.1984880302245023
Estonia,EST,9.301144,0.550630872595512
Fiji,FJI,45.977592,-1.5448361831097768
Finland,FIN,10.594158,-2.1254212171727196
France,FRA,12.029381,-0.4042961087860126
French Guiana,GUF,15.783722,8.07381207339647
Georgia,GEO,18.487427,11.454042429727604
Germany,DEU,18.040186,-0.010451094413252735
Greece,GRC,15.5195,-1.5520289496307793
Grenada,GRD,18.025621,12.077871426975015
Guadeloupe,GLP,9.173633,2.3830585726928644
Guatemala,GTM,18.310677,-0.3084117640334042
Guyana,GUY,19.369226,2.0792040733290795
Hong Kong,HKG,12.210228,-5.6776130929846556
Hungary,HUN,25.345306,-1.0825671926437068
Iceland,ISL,20.346622,3.0736920971921022
Iran,IRN,27.72346,10.112702297243425
Iraq,IRQ,11.972445,-1.5457125149287265
Ireland,IRL,23.682442,-2.419146473755269
Israel,ISR,18.130642,-0.26785167391947
Italy,ITA,17.506481,1.0815070851985817
Jamaica,JAM,21.020708,-1.1772766264844248
Japan,JPN,15.839136,0.11812787738813126
Jordan,JOR,9.520145,-5.055356307374968
Kazakhstan,KAZ,47.008163,2.0715275097362738
Kuwait,KWT,7.750436,-1.373829026241021
Kyrgyzstan,KGZ,28.668758,-6.447629893297721
Latvia,LVA,7.990559,-0.4889021879585324
Lebanon,LBN,19.608175,16.989887583426764
Lithuania,LTU,8.547288,-3.939643287026229
Luxembourg,LUX,16.172234,-0.2622716568007006
Malaysia,MYS,21.535225,2.2124838286269837
Maldives,MDV,57.430252,16.7160692179792
Malta,MLT,15.336472,3.083813277168786
Martinique,MTQ,7.995333,1.11478983389331
Mauritius,MUS,23.449173,-3.020667624631061
Mayotte,MYT,21.386288,22.2423340733468
Mexico,MEX,24.335217,-2.1370136273611666
Moldova,MDA,12.983285,-8.882493389039045
Mongolia,MNG,17.804384,5.7260436349223935
Montenegro,MNE,18.978937,-3.0852690454855445
Netherlands,NLD,18.8752,-1.0276425130009752
New Zealand,NZL,22.923424,-1.3145239608115877
Nicaragua,NIC,34.198242,4.7575844172595225
North Macedonia,MKD,23.90469,2.592619182111284
Norway,NOR,22.966957,-0.0350524864548982
Oman,OMN,13.249516,3.5183938072848613
Panama,PAN,17.492952,-2.016409375102772
Paraguay,PRY,24.783642,4.102871517269242
Peru,PER,28.67177,-0.8999152190583793
Philippines,PHL,44.22702,-2.3131032657295103
Poland,POL,11.623945,-0.6099444371324012
Portugal,PRT,18.871534,-1.654856863168604
Puerto Rico,PRI,21.740532,-3.4353246030102738
Qatar,QAT,20.691072,7.597305865062223
Reunion,REU,19.234428,-1.2060122253129444
Romania,ROU,21.130419,0.6337348505383306
Russia,RUS,13.510328,-2.0791039877985042
Saint Lucia,LCA,27.788172,3.627507816354377
Saint Vincent and the Grenadines,VCT,22.311518,5.239194281557337
Saudi Arabia,SAU,14.67218,7.64392337625075
Serbia,SRB,22.217733,-0.7511397484537687
Seychelles,SYC,22.012829,14.090243077788644
Singapore,SGP,6.746888,-4.323736547611515
Slovakia,SVK,10.160028,-3.6240617828727757
Slovenia,SVN,8.055025,-4.043391396952709
South Africa,ZAF,48.59029,-2.62193387230536
South Korea,KOR,11.881792,-4.33529759049213
Spain,ESP,18.200562,-4.155307696954691
Sri Lanka,LKA,40.843456,-2.8851084228269652
Suriname,SUR,16.085361,2.092298190596747
Sweden,SWE,14.302055,-0.30858561345420543
Switzerland,CHE,10.605172,-1.9100243857221904
Syria,SYR,26.258167,4.983514782578323
Tajikistan,TJK,14.924174,-36.11535509087652
Thailand,THA,13.508334,-4.767638753614951
Trinidad and Tobago,TTO,19.756199,-0.43683885034308767
Turkey,TUR,33.09035,0.3087266538034261
Turkmenistan,TKM,16.24148,-1.5891545323870024
Ukraine,UKR,8.038818,-10.37507707379495
United Arab Emirates,ARE,17.70592,20.909240790632488
United Kingdom,GBR,25.443394,-1.9604918806371299
United States,USA,30.106623,-1.3496665043225073
Uruguay,URY,27.665596,-2.0092388792523717
Uzbekistan,UZB,11.768277,-1.1433261534378947
Venezuela,VEN,27.216429,1.7517330571727947
