Code,Entity,2021 [YR2021]_9020000:ACTUAL INDIVIDUAL CONSUMPTION,Mean Growth 2017-2021_9020000:ACTUAL INDIVIDUAL CONSUMPTION
ABW,Aruba,2.7916381229034745e-05,5.114910475784444e-05
AFG,Afghanistan,0.0003087715333382748,0.0005478855077749046
AGO,Angola,0.0042670743773294915,0.00571567274039528
AIA,Anguilla,4.693549239007862e-05,8.75312925796228e-05
ALB,Albania,0.0009971421740745633,0.001785144560588897
AND,Andorra,1.010483005045422e-05,1.9720210233871196e-05
ARE,United Arab Emirates,5.791794116826967e-05,9.788695627384443e-05
ARG,Argentina,0.0008788191124038841,0.0008811749497513823
ARM,Armenia,0.0033305681411520305,0.005889160637780197
ATG,Antigua and Barbuda,4.023078319479793e-05,7.760541420048439e-05
AUS,Australia,3.044856773227719e-05,5.494492943259451e-05
AUT,Austria,1.2939765494240488e-05,2.5129426934475402e-05
AZE,Azerbaijan,5.398624437027111e-06,9.622999941583942e-06
BDI,Burundi,0.013873187852296364,0.023778285757626815
BEL,Belgium,1.2905733576476188e-05,2.4917953200150046e-05
BEN,Benin,0.004672194641487882,0.008237644101595451
BFA,Burkina Faso,0.004255488355043962,0.007554533085729283
BGD,Bangladesh,0.0006278052156861293,0.0011242828940235645
BGR,Bulgaria,1.0822872893859237e-05,1.9289463790329524e-05
BHR,Bahrain,0.0,0.0
BHS,"Bahamas, The",2.0225339181891693e-05,3.596830656933381e-05
BIH,Bosnia and Herzegovina,1.0913451902321806e-05,2.0514613432210895e-05
BLR,Belarus,1.0882105679900318e-05,1.652841413761112e-05
BLZ,Belize,1.9395023878730048e-05,4.103386420192146e-05
BMU,Bermuda,2.697167946429069e-05,5.2869203237075225e-05
BOL,Bolivia,5.1901921795694066e-05,9.607850310721356e-05
BRA,Brazil,4.942374979491599e-05,8.459087134923308e-05
BRB,Barbados,5.186418721426668e-05,9.085671083295128e-05
BRN,Brunei Darussalam,8.407212137767682e-06,1.6768796479678224e-05
BTN,Bhutan,0.0004339283973761919,0.0007513845129790229
BWA,Botswana,0.00010594209006835125,0.0001870842510320476
CAF,Central African Republic,0.005800015879734816,0.01093102032449436
CAN,Canada,2.374438106768044e-05,4.356981268640679e-05
CHE,Switzerland,2.41683501036154e-05,4.661821159160835e-05
CHL,Chile,0.009850105227557054,0.01707885988039203
CHN,China,8.728606469065967e-05,0.0001549186572329132
CIV,Cote d'Ivoire,0.005160504127856745,0.009186823157011846
CMR,Cameroon,0.004282127935707496,0.008304730332347616
COD,"Congo, Dem. Rep.",0.019561644313502026,0.030552693277733762
COG,"Congo, Rep.",0.005089613996901121,0.009859729781610664
COL,Colombia,0.030549560313382396,0.05300014914302827
COM,Comoros,0.004696589655077955,0.00824615047808029
CPV,Cabo Verde,0.001126821299580994,0.001973397621169437
CRI,Costa Rica,0.00824722327404887,0.014360317071161827
CUW,Curacao,2.56390492342734e-05,4.8204984005767264e-05
CYM,Cayman Islands,2.0847021467654757e-05,3.834206515735711e-05
CYP,Cyprus,9.582410334141781e-06,1.8393300930455364e-05
CZE,Czechia,0.000269229108117056,0.0004890702441539587
DEU,Germany,1.1881852961952717e-05,2.2348090609308756e-05
DJI,Djibouti,0.0020752229861065665,0.003770314377679716
DMA,Dominica,3.083790084992623e-05,5.934771447128639e-05
DNK,Denmark,0.0001551769088512566,0.0002907699194896845
DOM,Dominican Republic,0.0004958848493230824,0.0008814744378728348
DZA,Algeria,0.0008343152302464642,0.001423976580721467
ECU,Ecuador,6.189008282445493e-06,1.308727314439958e-05
EGY,"Egypt, Arab Rep.",8.225183552416248e-05,0.0001362739674356073
ERI,Eritrea,0.00010693873025934823,0.00018187974362018013
ESP,Spain,1.0155415796468989e-05,1.94336834442754e-05
EST,Estonia,8.389661006330286e-06,1.5014301304522106e-05
ETH,Ethiopia,0.00028392255857473284,0.0003871867462432819
FIN,Finland,1.4871284715916378e-05,2.8029875320597616e-05
FJI,Fiji,1.624334634743102e-05,3.073059928710258e-05
FRA,France,1.17995389280702e-05,2.299547456612628e-05
GAB,Gabon,0.006288190879066605,0.011728575014898981
GBR,United Kingdom,1.1949075410708138e-05,2.2674711209881705e-05
GEO,Georgia,1.6806732750287802e-05,2.729029834800202e-05
GHA,Ghana,4.7182531412739974e-05,6.96703192874709e-05
GIN,Guinea,0.06855817166440795,0.11421254480211197
GMB,"Gambia, The",0.0003239072582616485,0.000565244872321964
GNB,Guinea-Bissau,0.0045720719191082925,0.008333845579967749
GNQ,Equatorial Guinea,0.005878078772531828,0.010671371295372042
GRC,Greece,8.193815944162317e-06,1.5952939011698526e-05
GRD,Grenada,3.485597358531554e-05,6.226384104822841e-05
GTM,Guatemala,7.193027007024198e-05,0.0001321167412565127
GUY,Guyana,0.002123704304406139,0.004047837776183603
HKG,"Hong Kong SAR, China",0.00013862067583592165,0.00025004037079745224
HND,Honduras,0.0002472279143432814,0.0004315247833146411
HRV,Croatia,5.44311118242556e-06,1.0620748652052901e-05
HTI,Haiti,0.0010812912345838067,0.0015171939719651156
HUN,Hungary,0.0033810493248439357,0.0057913668566167845
IDN,Indonesia,0.11434891065610873,0.2034575668687075
IND,India,0.00043814365802141995,0.0007827476051008839
IRL,Ireland,1.74708467750233e-05,3.138162007871501e-05
IRN,"Iran, Islamic Rep.",1.0,0.9999999999999999
IRQ,Iraq,0.01249703881721437,0.021413839910472243
ISL,Iceland,0.003623721833892412,0.006490056253829377
ISR,Israel,8.54102919078279e-05,0.0001579362251323367
ITA,Italy,1.0823051284710997e-05,2.1208592655724844e-05
JAM,Jamaica,0.0019195270915628928,0.00303685758013027
JOR,Jordan,2.8734569817071643e-06,5.267074847578839e-06
JPN,Japan,0.0023167802236429727,0.004268969240232775
KAZ,Kazakhstan,0.0029329401354458743,0.004832421541560101
KEN,Kenya,0.0009278085327981036,0.001655981733043861
KGZ,Kyrgyz Republic,0.0004753073887231233,0.0007416714755054843
KHM,Cambodia,0.03373833282607735,0.059896655796309525
KNA,St. Kitts and Nevis,4.1791116002869325e-05,7.99581129777186e-05
KOR,"Korea, Rep.",0.02050716441748305,0.037153458026020166
KWT,Kuwait,1.0056046824600854e-07,3.41798415661402e-07
LAO,Lao PDR,0.06789443570466862,0.11923015454008773
LBN,Lebanon,0.09844727846064182,0.06247225030807723
LBR,Liberia,0.001593086958167175,0.002370104476024295
LBY,Libya,3.667678793928628e-05,4.3678258020139066e-05
LCA,St. Lucia,3.035659390400538e-05,6.16075898812126e-05
LKA,Sri Lanka,0.0012182284348983255,0.002052296339096852
LSO,Lesotho,0.0001246329002574807,0.00020944631733577822
LTU,Lithuania,5.630514986140301e-06,1.0298940514266679e-05
LUX,Luxembourg,1.8557751332350497e-05,3.36225660371669e-05
LVA,Latvia,6.969957780180841e-06,1.2758609249640232e-05
MAC,"Macao SAR, China",0.00012279357582957654,0.00022562605786217632
MAR,Morocco,8.547376533939192e-05,0.00016383133433382462
MDA,Moldova,0.00012724885741911967,0.00022056846062977722
MDG,Madagascar,0.024535081383737098,0.04049059403966411
MDV,Maldives,0.000207002535899662,0.0003666874159749652
MEX,Mexico,0.0002196421823137698,0.0003763069126645371
MKD,North Macedonia,0.00040989054755505104,0.0007689073263072307
MLI,Mali,0.004219825916801675,0.007486407693365165
MLT,Malta,9.071355660203093e-06,1.698597472122087e-05
MMR,Myanmar,0.01042449864375275,0.016269351328944113
MNE,Montenegro,3.4500176191978894e-06,6.906009970263418e-06
MNG,Mongolia,0.01942741042848971,0.03379778038381026
MOZ,Mozambique,0.0005137259122480813,0.0008937298965012656
MRT,Mauritania,0.0002495270943010982,0.00044600617190319636
MSR,Montserrat,3.172204524143887e-05,6.287021832456718e-05
MUS,Mauritius,0.00039241334578151555,0.0006881053308404659
MWI,Malawi,0.006258907944901502,0.010574754483500957
MYS,Malaysia,2.9963417657455662e-05,5.548825663047129e-05
NAM,Namibia,0.00015540227127845276,0.00027407999804621874
NER,Niger,0.004554300931481042,0.00881995045500066
NGA,Nigeria,0.0033021913763277063,0.005084543622166196
NIC,Nicaragua,0.0002533845618931262,0.0004358316076563102
NLD,Netherlands,1.3683656750667583e-05,2.575475953306938e-05
NOR,Norway,0.00023054700438305682,0.00041775710987292087
NPL,Nepal,0.0007283909564376862,0.0012373841377144492
NZL,New Zealand,2.8162268436747974e-05,5.08243976000378e-05
OMN,Oman,1.420928785347324e-07,5.920630229459729e-07
PAK,Pakistan,0.0009396667654768665,0.00146714507540471
PAN,Panama,7.702142663706845e-06,1.2521058016793424e-05
PER,Peru,3.63009113913988e-05,6.4796412400759e-05
PHL,Philippines,0.00044867944981850016,0.0007911733284308142
POL,Poland,3.414851479756311e-05,6.0917881824143775e-05
PRI,Puerto Rico,1.522515597968251e-05,3.033523038674524e-05
PRT,Portugal,8.600235253312401e-06,1.6592439843026977e-05
PRY,Paraguay,0.05986286985012468,0.10074989700710005
PSE,West Bank and Gaza,3.8569542969343304e-05,6.982392903990096e-05
QAT,Qatar,5.827516674190958e-05,0.00010064223226475783
ROU,Romania,3.238501306983564e-05,5.85803831257951e-05
RUT,Russian Federation,0.0005459083186103758,0.000940431512008313
RWA,Rwanda,0.0063536839085795395,0.011420376161672775
SAU,Saudi Arabia,4.16834578261678e-05,6.985110928046385e-05
SDN,Sudan,0.002099730731477723,0.001177369326746228
SEN,Senegal,0.004920643980083725,0.009002209518304294
SGP,Singapore,1.902574357839996e-05,3.477648346857029e-05
SLE,Sierra Leone,0.06806701062134372,0.1019207314377424
SLV,El Salvador,6.038414096568445e-06,1.1377975467491677e-05
SMR,San Marino,1.311299284385106e-05,2.433481691728366e-05
SOM,Somalia,4.046322752811025e-06,7.023927000141371e-06
SRB,Serbia,0.0009508683849745797,0.0016780823213736527
STP,Sao Tome and Principe,0.00019465195570730423,0.00037072588469506235
SUR,Suriname,0.00012637361290506106,0.00013953513261915582
SVK,Slovak Republic,7.08710438368197e-06,1.3920819758909038e-05
SVN,Slovenia,8.662686097946732e-06,1.6449024173353126e-05
SWE,Sweden,0.00020318194886041597,0.0003784670193974783
SWZ,Eswatini,0.00012994645297684818,0.00023365758726638322
SXM,Sint Maarten,2.8484411412646383e-05,5.003006213430052e-05
SYC,Seychelles,0.00020103406681931684,0.00033351232240935117
SYR,Syrian Arab Republic,0.010585230070980335,0.010956460106273345
TCA,Turks and Caicos Islands,2.3629031014568033e-05,4.1301495441624334e-05
TCD,Chad,0.004705651708076634,0.008711457856123307
TGO,Togo,0.004698886362847586,0.008761217636755384
THA,Thailand,0.0002499423769667392,0.0004646437054444571
TJK,Tajikistan,5.7648686163630364e-05,9.309453737222902e-05
TKM,Turkmenistan,2.9371061703997482e-05,5.164639334663109e-05
TLS,Timor-Leste,4.716499959527272e-06,7.5767508627339954e-06
TTO,Trinidad and Tobago,8.434328987001523e-05,0.0001570166163796384
TUN,Tunisia,1.4705027251395238e-05,2.3999771320528622e-05
TUR,Turkiye,5.3797893479691864e-05,6.906534301342808e-05
TWN,"Taiwan, China",0.0003387403199282745,0.000619820080930305
TZA,Tanzania,0.015414820669370857,0.02867953843401967
UGA,Uganda,0.028060710122768152,0.04818752183404745
UKR,Ukraine,0.00016464073737833222,0.00026694031522144553
URY,Uruguay,0.0006039559263999359,0.001025953945903626
USA,United States,1.903809047278449e-05,3.398574901654651e-05
UZB,Uzbekistan,0.05699331634399334,0.07741282067695462
VCT,St. Vincent and the Grenadines,3.2060013031004405e-05,5.9412132716053e-05
VNM,Viet Nam,0.15900102341894706,0.2847910342121207
ZAF,South Africa,0.00016484282752496376,0.0002749983550511272
ZMB,Zambia,0.0001288710623550466,0.0001832870910269845
ZWE,Zimbabwe,8.814576777966782e-06,1.5520435523304602e-05
