Entity,Code,Urban population (% of total population),Mean Growth (2012-2022)
Afghanistan,AFG,26.616,25.308909090909093
Albania,ALB,63.799,59.25509090909091
Algeria,DZA,74.772,71.96863636363636
American Samoa,ASM,87.196,87.22545454545455
Andorra,AND,87.811,88.18027272727274
Angola,AGO,68.081,64.77199999999999
Antigua and Barbuda,ATG,24.346,24.806727272727276
Argentina,ARG,92.347,91.74309090909091
Armenia,ARM,63.573,63.224636363636364
Aruba,ABW,44.052,43.377545454545455
Australia,AUS,86.488,85.92163636363635
Austria,AUT,59.256,58.13945454545455
Azerbaijan,AZE,57.17,55.41654545454546
Bahamas,BHS,83.492,82.95981818181818
Bahrain,BHR,89.743,89.21263636363636
Bangladesh,BGD,39.711,35.85545454545454
Barbados,BRB,31.324,31.27063636363636
Belarus,BLR,80.326,78.08390909090909
Belgium,BEL,98.153,97.95572727272726
Belize,BLZ,46.396,45.688818181818185
Benin,BEN,49.534,46.79263636363637
Bermuda,BMU,100.0,100.0
Bhutan,BTN,43.686,40.111636363636364
Bolivia,BOL,70.83,69.08163636363636
Bosnia and Herzegovina,BIH,49.841,47.93472727272728
Botswana,BWA,72.224,68.61590909090908
Brazil,BRA,87.555,86.28027272727273
British Virgin Islands,VGB,49.331,47.36872727272728
Brunei,BRN,78.854,77.289
Bulgaria,BGR,76.363,74.66872727272727
Burkina Faso,BFA,31.877,28.77418181818182
Burundi,BDI,14.417,12.74590909090909
Cambodia,KHM,25.114,23.01890909090909
Cameroon,CMR,58.733,55.76681818181819
Canada,CAN,81.752,81.3910909090909
Cape Verde,CPV,67.545,65.229
Cayman Islands,CYM,100.0,100.0
Central African Republic,CAF,43.12,41.08954545454546
Chad,TCD,24.063,22.955818181818184
Channel Islands,OWID_CIS,31.077,30.980363636363634
Chile,CHL,87.912,87.51572727272728
China,CHN,63.56,57.83572727272727
Colombia,COL,82.05,80.41745454545455
Comoros,COM,29.864,28.867545454545454
Congo,COG,68.736,66.45645454545455
Costa Rica,CRI,82.042,78.33345454545454
Cote d'Ivoire,CIV,52.661,50.36318181818182
Croatia,HRV,58.219,56.745363636363635
Cuba,CUB,77.401,77.02772727272728
Curacao,CUW,89.025,89.25781818181818
Cyprus,CYP,66.911,66.93590909090909
Czechia,CZE,74.377,73.72345454545454
Democratic Republic of Congo,COD,46.837,43.912000000000006
Denmark,DNK,88.367,87.76
Djibouti,DJI,78.38,77.69254545454545
Dominica,DMA,71.7,70.18554545454545
Dominican Republic,DOM,83.848,80.09118181818182
East Timor,TLS,32.074,30.22781818181818
Ecuador,ECU,64.57,63.71636363636364
Egypt,EGY,42.967,42.813272727272725
El Salvador,SLV,74.767,71.1519090909091
Equatorial Guinea,GNQ,74.01,71.588
Eritrea,ERI,42.625,39.470363636363636
Estonia,EST,69.609,68.74954545454545
Eswatini,SWZ,24.576,23.661545454545454
Ethiopia,ETH,22.661,20.350454545454546
Fiji,FJI,58.229,55.73045454545454
Finland,FIN,85.681,85.32618181818181
France,FRA,81.509,80.18527272727273
French Polynesia,PYF,62.17,61.80163636363636
Gabon,GAB,90.735,88.85954545454545
Gambia,GMB,63.852,60.55045454545454
Georgia,GEO,60.297,58.26036363636364
Germany,DEU,77.648,77.32345454545454
Ghana,GHA,58.615,55.38163636363636
Gibraltar,GIB,100.0,100.0
Greece,GRC,80.357,78.70672727272728
Greenland,GRL,87.727,86.53809090909091
Grenada,GRD,36.868,36.24572727272727
Guam,GUM,95.091,94.693
Guatemala,GTM,52.666,50.74136363636364
Guinea,GIN,37.668,35.86154545454545
Guinea-Bissau,GNB,45.041,42.95681818181818
Guyana,GUY,27.022,26.606818181818184
Haiti,HTI,58.82,54.2629090909091
Honduras,HND,59.6,56.43418181818181
Hong Kong,HKG,100.0,100.0
Hungary,HUN,72.552,71.08481818181818
Iceland,ISL,93.992,93.78272727272726
India,IND,35.872,33.661181818181824
Indonesia,IDN,57.934,54.63654545454545
Iran,IRN,76.807,74.34790909090908
Iraq,IRQ,71.354,70.32681818181818
Ireland,IRL,64.183,62.997090909090915
Isle of Man,IMN,53.271,52.538000000000004
Israel,ISR,92.763,92.34627272727272
Italy,ITA,71.657,70.15590909090909
Jamaica,JAM,57.008,55.455
Japan,JPN,91.955,91.54263636363636
Jordan,JOR,91.827,90.53381818181819
Kazakhstan,KAZ,57.99,57.398
Kenya,KEN,29.002,26.613
Kiribati,KIR,57.058,53.181090909090905
Kuwait,KWT,100.0,100.0
Kyrgyzstan,KGZ,37.461,36.25781818181818
Laos,LAO,37.592,34.391363636363636
Latvia,LVA,68.54,68.13545454545455
Lebanon,LBN,89.262,88.43681818181818
Lesotho,LSO,29.943,27.76827272727273
Liberia,LBR,53.065,50.74809090909091
Libya,LBY,81.302,79.85327272727272
Liechtenstein,LIE,14.538,14.369909090909092
Lithuania,LTU,68.465,67.57854545454546
Luxembourg,LUX,91.881,90.6620909090909
Macao,MAC,100.0,100.0
Madagascar,MDG,39.882,36.535
Malawi,MWI,17.98,16.78690909090909
Malaysia,MYS,78.214,75.36318181818181
Maldives,MDV,41.536,39.38854545454546
Mali,MLI,45.437,41.550363636363635
Malta,MLT,94.875,94.54509090909092
Marshall Islands,MHL,78.52,76.5840909090909
Mauritania,MRT,56.923,52.75872727272727
Mauritius,MUS,40.81,40.93818181818182
Mexico,MEX,81.3,79.86118181818182
Micronesia (country),FSM,23.217,22.672818181818183
Moldova,MDA,43.173,42.68309090909091
Monaco,MCO,100.0,100.0
Mongolia,MNG,68.93,68.41272727272727
