Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,..,..,..,..,..,..,..
Afghanistan,AFG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,13.8094358444214,13.2427116575584,12.9906604300463,13.2303340687141,13.2944717407227,..,..
Afghanistan,AFG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Afghanistan,AFG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,..,..,..,..,..,..,..
Afghanistan,AFG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,..,..,..,..,..,..,..
Albania,ALB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,84.7725372314453,..,..,..,94.1645126342773,..,..
Albania,ALB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,43.6717224121094,43.9920845031738,42.3241119384766,42.3045539855957,42.5046081542969,..,..
Albania,ALB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,18.4707508087158,..,..,..,18.6892604827881,..,..
Albania,ALB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,41.1935653686523,..,..,..,40.1665649414063,..,..
Albania,ALB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,35.6870727539063,..,..,..,30.7517890930176,..,..
Algeria,DZA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,39.4625625610352,..,..,..,47.5574264526367,..,..
Algeria,DZA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,33.4219398498535,34.376407623291,34.1513862609863,33.9824676513672,35.5952529907227,..,..
Algeria,DZA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,19.5475978851318,..,..,..,19.3112182617188,..,..
Algeria,DZA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,31.7212753295898,..,..,..,33.9184532165527,..,..
Algeria,DZA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,19.1051921844482,..,..,..,14.791407585144,..,..
Andorra,AND,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,..,..,..,..,..,..,..
Andorra,AND,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,0.690665364265442,0.674318486811236,0.659377389540416,0.645631555456796,0.620928406715393,..,..
Andorra,AND,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Andorra,AND,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,..,..,..,..,..,..,..
Andorra,AND,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,..,..,..,..,..,..,..
Angola,AGO,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,133.099456787109,..,..,..,243.024276733398,..,..
Angola,AGO,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,104.142387390137,118.046165466309,130.29426574707,151.95002746582,181.260040283203,..,..
Angola,AGO,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,72.5248718261719,..,..,..,92.9754104614258,..,..
Angola,AGO,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,90.8855743408203,..,..,..,161.42414855957,..,..
Angola,AGO,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,60.5582084655762,..,..,..,95.6748275756836,..,..
Anguilla,AIA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,3.18779444694519,..,..,..,2.68807077407837,..,..
Anguilla,AIA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,2.49235415458679,2.281574010849,2.25681352615356,2.2004759311676,2.18379092216492,..,..
Anguilla,AIA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,2.35286855697632,..,..,..,1.78571617603302,..,..
Anguilla,AIA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,2.26272249221802,..,..,..,2.00188779830933,..,..
Anguilla,AIA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,2.29309153556824,..,..,..,1.87036335468292,..,..
Antigua and Barbuda,ATG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,3.01289939880371,..,..,..,3.0143187046051,..,..
Antigua and Barbuda,ATG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,2.22609972953796,2.10107135772705,2.04637861251831,1.95300674438477,1.89928507804871,..,..
Antigua and Barbuda,ATG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.54499757289886,..,..,..,1.39455592632294,..,..
Antigua and Barbuda,ATG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,2.02637767791748,..,..,..,1.74767708778381,..,..
Antigua and Barbuda,ATG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,1.85531067848206,..,..,..,1.2380952835083,..,..
Argentina,ARG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,11.9575605392456,..,..,..,75.042236328125,..,..
Argentina,ARG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,10.0735902786255,13.1455726623535,19.701452255249,26.0929260253906,37.4837188720703,..,..
Argentina,ARG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,6.25556182861328,..,..,..,19.301685333252,..,..
Argentina,ARG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,9.60903167724609,..,..,..,35.8425445556641,..,..
Argentina,ARG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,8.73970890045166,..,..,..,17.3567047119141,..,..
Armenia,ARM,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,336.301330566406,..,..,..,316.754913330078,..,..
Armenia,ARM,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,143.566223144531,146.916015625,139.439697265625,135.035034179688,141.520584106445,..,..
Armenia,ARM,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,69.2450942993164,..,..,..,66.0578079223633,..,..
Armenia,ARM,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,135.667556762695,..,..,..,136.154586791992,..,..
Armenia,ARM,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,80.2333297729492,..,..,..,65.2474136352539,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,1.77232348918915,..,..,..,1.78697001934052,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,1.38848280906677,1.41832685470581,1.46420335769653,1.40849888324738,1.37673902511597,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.03326261043549,..,..,..,0.960431396961212,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,1.34516000747681,..,..,..,1.30255973339081,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,1.07740151882172,..,..,..,0.894258081912994,..,..
