Entity,Code,Year,"Age-standardized deaths from respiratory diseases in both sexes per 100,000 people"
Albania,ALB,1987,26.313232
Albania,ALB,1988,26.932293
Albania,ALB,1989,25.726141
Albania,ALB,1992,21.51648
Albania,ALB,1993,23.432169
Albania,ALB,1994,22.816742
Albania,ALB,1995,21.497353
Albania,ALB,1996,21.548323
Albania,ALB,1997,17.319284
Albania,ALB,1998,17.792858
Albania,ALB,1999,15.767028
Albania,ALB,2000,20.474329
Albania,ALB,2001,13.553508
Albania,ALB,2002,14.954377
Albania,ALB,2003,16.539534
Albania,ALB,2004,16.699833
Albania,ALB,2005,15.173623
Albania,ALB,2006,13.584775
Albania,ALB,2007,11.711932
Albania,ALB,2008,10.700809
Albania,ALB,2009,9.940529
Albania,ALB,2010,6.8135977
Antigua and Barbuda,ATG,1961,15.072626
Antigua and Barbuda,ATG,1962,2.306789
Antigua and Barbuda,ATG,1963,6.5229187
Antigua and Barbuda,ATG,1964,2.5433333
Antigua and Barbuda,ATG,1966,4.009805
Antigua and Barbuda,ATG,1969,9.350201
Antigua and Barbuda,ATG,1970,8.720973
Antigua and Barbuda,ATG,1971,27.024754
Antigua and Barbuda,ATG,1972,6.8657384
Antigua and Barbuda,ATG,1973,12.566937
Antigua and Barbuda,ATG,1974,26.637089
Antigua and Barbuda,ATG,1975,33.843857
Antigua and Barbuda,ATG,1976,19.838812
Antigua and Barbuda,ATG,1977,20.836098
Antigua and Barbuda,ATG,1978,9.135782
Antigua and Barbuda,ATG,1983,4.0378513
Antigua and Barbuda,ATG,1985,18.251451
Antigua and Barbuda,ATG,1986,5.824063
Antigua and Barbuda,ATG,1987,3.322595
Antigua and Barbuda,ATG,1988,10.453759
Antigua and Barbuda,ATG,1989,11.29517
Antigua and Barbuda,ATG,1990,18.72828
Antigua and Barbuda,ATG,1991,19.485315
Antigua and Barbuda,ATG,1992,9.938692
Antigua and Barbuda,ATG,1993,4.2421875
Antigua and Barbuda,ATG,1994,17.253956
Antigua and Barbuda,ATG,1995,8.534236
Antigua and Barbuda,ATG,1998,18.61622
Antigua and Barbuda,ATG,1999,18.713657
Antigua and Barbuda,ATG,2000,18.944801
Antigua and Barbuda,ATG,2001,16.495974
Antigua and Barbuda,ATG,2002,12.785848
Antigua and Barbuda,ATG,2003,12.410678
Antigua and Barbuda,ATG,2004,8.723438
Antigua and Barbuda,ATG,2005,15.864586
Antigua and Barbuda,ATG,2006,7.774543
Antigua and Barbuda,ATG,2007,16.802608
Antigua and Barbuda,ATG,2008,18.660759
Antigua and Barbuda,ATG,2009,10.692201
Antigua and Barbuda,ATG,2010,15.425289
Antigua and Barbuda,ATG,2011,22.979649
Antigua and Barbuda,ATG,2012,18.681372
Antigua and Barbuda,ATG,2013,22.611788
Antigua and Barbuda,ATG,2014,20.340874
Antigua and Barbuda,ATG,2015,18.722929
Antigua and Barbuda,ATG,2016,19.76416
Antigua and Barbuda,ATG,2017,18.19936
Antigua and Barbuda,ATG,2018,15.1440115
Antigua and Barbuda,ATG,2019,21.738947
Antigua and Barbuda,ATG,2020,26.505396
Antigua and Barbuda,ATG,2021,19.863983
Argentina,ARG,1966,19.064009
Argentina,ARG,1967,21.450586
Argentina,ARG,1968,25.224936
Argentina,ARG,1969,28.925419
Argentina,ARG,1970,28.556429
Argentina,ARG,1977,24.5701
Argentina,ARG,1978,24.559696
Argentina,ARG,1979,25.48449
Argentina,ARG,1980,25.622322
Argentina,ARG,1981,24.5257
Argentina,ARG,1982,23.400917
Argentina,ARG,1983,28.091427
Argentina,ARG,1984,29.462233
Argentina,ARG,1985,27.824825
Argentina,ARG,1986,27.492842
Argentina,ARG,1987,32.284565
Argentina,ARG,1988,31.974087
Argentina,ARG,1989,26.12279
Argentina,ARG,1990,27.735466
Argentina,ARG,1991,28.01379
Argentina,ARG,1992,30.206337
Argentina,ARG,1993,31.319193
Argentina,ARG,1994,29.757982
Argentina,ARG,1995,37.730698
Argentina,ARG,1996,36.571716
Argentina,ARG,1997,50.012394
Argentina,ARG,1998,55.91613
Argentina,ARG,1999,58.38312
Argentina,ARG,2000,51.794956
Argentina,ARG,2001,54.66606
Argentina,ARG,2002,53.427242
Argentina,ARG,2003,57.54064
Argentina,ARG,2004,55.54384
Argentina,ARG,2005,53.894955
Argentina,ARG,2006,49.466534
Argentina,ARG,2007,57.83764
Argentina,ARG,2008,51.353844
Argentina,ARG,2009,49.633167
